member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,batch_enrolled,int_rate,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,pymnt_plan,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,collections_12_mths_ex_med,mths_since_last_major_derog,application_type,verification_status_joint,last_week_pay,acc_now_delinq,tot_coll_amt,tot_cur_bal,total_rev_hi_lim,loan_status
12866989,30750,30750,30700,36 months, ,16.99,D,D1,,n/a,MORTGAGE,70000,Verified,n,> credit card consolidation.<br><br>  > this loan if approved is to consolidate all my credit cards and some outstanding loan and use the remaining if any for repairs of my garage as well as any needed maintenance in and around my house and another thing is to central air condition in the house to cool the house rather than the window one<br><br>   > this loan if approved is to consolidate all my credit cards and some outstanding loan and use the remaining if any for the repairs of my garage as well any needed maintenance in and around my house and another thing is buy central air condition for the house but first this is for loan consolidation.<br>,credit_card,Credit card refinancing,191xx,PA,29.13,3,2,11,,7,0,17299,99.4,35,f,7394.32,0,0,0,0,26,INDIVIDUAL,,104th week,0,0,221335,17400,0
58568833,9000,9000,9000,36 months,BAT3873588,9.99,B,B3,Production employee,7 years,RENT,60000,Source Verified,n,,debt_consolidation,Debt consolidation,666xx,KS,19.7,0,0,,,9,0,9305,54.7,28,f,412.36,0,0,0,0,,INDIVIDUAL,,26th week,0,0,34538,17000,0
62725253,24000,24000,24000,36 months,,10.99,B,B4,Principal Consultant,7 years,RENT,130000,Verified,n,,debt_consolidation,Debt consolidation,606xx,IL,23.22,0,1,56,,16,0,23770,76.7,25,w,833.27,0,0,0,0,,INDIVIDUAL,,17th week,0,0,125903,31000,0
66791957,20000,20000,20000,60 months,BAT2252229,17.86,D,D5,Zone business manager,9 years,RENT,96000,Not Verified,n,,debt_consolidation,Debt consolidation,322xx,FL,18.31,1,0,18,,11,0,18680,68.7,28,w,843.95,0,0,0,0,18,INDIVIDUAL,,13th week,0,0,66738,27200,0
1699807,12400,12400,12400,36 months,BAT1135695,6.62,A,A2,Expeditors,2 years,OWN,40000,Not Verified,n,,debt_consolidation,Debt consolidation,114xx,NY,20.31,0,2,28,,6,0,1804,12.2,9,f,0,0,712.76,7.03,0,,INDIVIDUAL,,NAth week,0,,,,0
54486146,4200,4200,4200,36 months, ,17.57,D,D4,production coordinator,10+ years,MORTGAGE,46000,Not Verified,n,,debt_consolidation,Debt consolidation,928xx,CA,31.25,1,0,20,,14,0,21174,82.4,28,w,394.08,0,0,0,0,,INDIVIDUAL,,31th week,0,0,282808,25700,0
41408977,10500,10500,10500,36 months,BAT4694572,13.66,C,C3,Title Manager,7 years,OWN,60000,Source Verified,n,,debt_consolidation,Debt consolidation,631xx,MO,13.82,0,1,,,7,0,8661,60.6,24,f,845.33,0,0,0,0,,INDIVIDUAL,,30th week,0,0,71697,14300,1
63047232,16000,16000,16000,36 months,BAT4271519,7.89,A,A5,Coordinator,< 1 year,RENT,65000,Source Verified,n,,debt_consolidation,Debt consolidation,337xx,FL,21.54,0,0,,,9,0,22438,54.2,30,w,398.12,0,0,0,0,,INDIVIDUAL,,17th week,0,0,147448,41400,0
22741274,23800,23800,23800,60 months, ,15.61,D,D1,Quality Engineer,4 years,MORTGAGE,70000,Source Verified,n,,debt_consolidation,Debt consolidation,285xx,NC,21.93,0,0,,,13,0,20253,46.7,27,f,5008.5,0,0,0,0,,INDIVIDUAL,,78th week,0,0,327930,43400,0
17563299,7200,7200,7150,36 months,,12.99,C,C1,Top shelf sales,2 years,OWN,37000,Source Verified,n,,debt_consolidation,Debt consolidation,764xx,TX,13.43,0,0,73,50,11,1,6392,32,28,f,1047.06,0,0,0,0,47,INDIVIDUAL,,70th week,0,0,8589,19800,1
10317534,19200,19200,19175,36 months,,6.62,A,A2,Physician,1 year,MORTGAGE,250000,Source Verified,n,,debt_consolidation,Close cards and consolidate,352xx,AL,25.86,0,1,,,9,0,28912,87.3,23,f,1785.13,0,0,0,0,,INDIVIDUAL,,104th week,0,0,447388,33100,1
50609137,15000,15000,15000,36 months,BAT1184694,6.92,A,A4,Teacher,3 years,MORTGAGE,90000,Verified,n,,debt_consolidation,Debt consolidation,757xx,TX,29.68,0,1,,,16,0,24129,48.4,31,w,624.8,0,0,0,0,,INDIVIDUAL,,35th week,0,0,114298,49900,0
70008968,4000,4000,4000,36 months,BAT1586599,17.57,D,D4,cna,2 years,MORTGAGE,20000,Verified,n,,other,Other,073xx,NJ,30.79,0,0,,,9,0,6336,58.1,9,f,52.71,0,0,0,0,,INDIVIDUAL,,4th week,0,0,31445,10900,0
62465075,30000,30000,30000,60 months,BAT4271519,9.99,B,B3,Director Sales Technology,10+ years,MORTGAGE,180000,Source Verified,n,,credit_card,Credit card refinancing,067xx,CT,14.63,0,0,,,13,0,82208,69.6,25,w,1046.14,0,0,0,0,,INDIVIDUAL,,17th week,0,0,391749,94100,0
15319948,35000,35000,35000,60 months,,16.59,D,D1,Chief Creative Officer,8 years,MORTGAGE,480000,Source Verified,n,,debt_consolidation,Debt consolidation,902xx,CA,13.05,0,1,,,10,0,48777,70.7,24,w,8960.72,0,0,0,0,,INDIVIDUAL,,91th week,0,0,1385358,69000,0
66482134,6000,6000,6000,36 months,BAT2252229,12.69,C,C2,Manager,2 years,RENT,40000,Source Verified,n,,debt_consolidation,Debt consolidation,750xx,TX,13.11,0,0,33,,18,0,4776,97.5,34,f,177.5,0,0,0,0,,INDIVIDUAL,,13th week,0,0,68057,4900,0
69834413,20000,20000,20000,36 months,BAT1586599,8.18,B,B1,Teacher,9 years,RENT,50000,Source Verified,n,,credit_card,Credit card refinancing,073xx,NJ,3.07,1,0,23,,4,0,6485,52.7,14,f,127.24,0,0,0,0,,INDIVIDUAL,,9th week,0,0,6485,12300,0
69859111,12600,12600,12600,60 months, ,10.99,B,B4,tech4,10+ years,RENT,76600,Not Verified,n,,debt_consolidation,Debt consolidation,953xx,CA,7.19,0,1,,,11,0,3704,12.3,14,w,107.7,0,0,0,0,,INDIVIDUAL,,4th week,0,0,23697,30200,0
51096102,10000,10000,10000,60 months,BAT3726927,19.52,E,E3,,n/a,MORTGAGE,29500,Verified,n,,debt_consolidation,Debt consolidation,335xx,FL,6.59,0,1,50,,6,0,4890,54.9,18,w,1147.08,0,0,0,0,50,INDIVIDUAL,,31th week,0,0,4890,8900,0
31177698,5000,5000,5000,36 months,,13.98,C,C3,,n/a,RENT,19000,Verified,n,,other,Other,112xx,NY,13.9,0,0,,,7,0,5422,82.2,12,f,728.43,0,0,0,0,,INDIVIDUAL,,65th week,0,50,5422,6600,0
72929339,10000,10000,10000,60 months,BAT2803411,14.85,C,C5,EMR Content Specialist,10+ years,MORTGAGE,45000,Not Verified,n,,debt_consolidation,,471xx,IN,26.76,0,0,25,,14,0,17916,48.3,28,w,0,0,0,0,0,,INDIVIDUAL,,NAth week,0,0,176391,37100,0
64856289,10000,10000,10000,60 months,BAT2252229,18.55,E,E2,Product Support,3 years,MORTGAGE,27000,Verified,n,,debt_consolidation,Debt consolidation,662xx,KS,14.13,0,0,,,5,0,10707,64.1,5,w,448.67,0,0,0,0,,INDIVIDUAL,,13th week,0,0,10707,16700,0
46875834,33150,33150,33150,60 months,BAT1104812,20.49,E,E4,Vice President,10+ years,MORTGAGE,70000,Verified,n,,credit_card,Credit card refinancing,171xx,PA,32.61,0,0,,,26,0,40674,65.2,37,f,4851.01,0,0,0,0,,INDIVIDUAL,,39th week,0,0,141797,62400,0
46475985,5500,5500,5500,36 months,BAT1104812,12.29,C,C1,Senior Sales Consultant,10+ years,OWN,25000,Source Verified,n,,debt_consolidation,Debt consolidation,631xx,MO,11.91,0,0,,72,11,1,4299,78.2,21,f,455.2,0,0,0,0,,INDIVIDUAL,,39th week,0,0,53454,5500,0
40524311,28000,28000,28000,36 months, ,8.19,A,A5,Manager,< 1 year,MORTGAGE,84000,Source Verified,n,,debt_consolidation,Debt consolidation,760xx,TX,12.73,0,1,,,18,0,17081,36.7,48,f,1956.66,0,0,0,0,,INDIVIDUAL,,52th week,0,0,229995,46500,0
40996048,12600,12600,12600,36 months,BAT4694572,16.49,D,D3,asst manger,10+ years,OWN,35000,Source Verified,n,,debt_consolidation,Debt consolidation,760xx,TX,22.38,1,1,6,,11,0,6981,26.2,18,f,1795.45,0,0,0,0,,INDIVIDUAL,,52th week,0,0,13054,26600,0
34160308,10000,10000,10000,36 months, ,8.39,A,A5,Deputy Sheriff,2 years,MORTGAGE,98000,Not Verified,n,,debt_consolidation,Debt consolidation,939xx,CA,3.09,0,0,72,,8,0,9875,30.5,13,f,412.4,0,0,0,0,,INDIVIDUAL,,35th week,0,0,42542,32400,1
5607481,17900,17900,17900,36 months,BAT5341619,18.75,D,D3,FINRA,3 years,MORTGAGE,114500,Verified,n,"   > Looking to consolidate my debt,  have one payment, with a lower rate.<br>",debt_consolidation,Debt consolidation,079xx,NJ,23.11,1,5,13,,18,0,40381,70.5,38,f,1830.04,0,0,0,0,,INDIVIDUAL,,31th week,0,0,624417,57300,1
53281867,4850,4850,4850,36 months,BAT1184694,16.99,D,D3,Health Tech,10+ years,MORTGAGE,53000,Source Verified,n,,debt_consolidation,Debt consolidation,125xx,NY,26.49,0,0,26,,8,0,9002,95.8,17,f,444.36,0,0,0,0,,INDIVIDUAL,,35th week,0,0,38829,9400,0
66959476,10725,10725,10725,36 months,BAT2252229,12.29,C,C1,security officer,9 years,OWN,28200,Not Verified,n,,debt_consolidation,Debt consolidation,190xx,PA,38.43,0,1,,,15,0,24196,33.2,27,w,277.95,0,0,0,0,,INDIVIDUAL,,13th week,0,0,28163,72900,0
1561871,20000,20000,19725,36 months, ,13.67,B,B5,Credit Suisse,4 years,RENT,168000,Verified,n,"> This loan will allow me to consolidate my credit card debt into 1 payment and pay off within 3 years. Very grateful. Thank you.<br><br>   > I will be consolidating CC1: $3,900, CC2: $6,300, CC3: $7,000. The remaining proceeds will go towards CC4. I follow a snowball debt elimination plan. I do not incur any new unsecured debt as part of my plan. This loan will allow me to consolidate debt into 1 auto-payment at a lower interest rate.<br>",debt_consolidation,Grateful Getting Out of Debt For Good,100xx,NY,22.32,0,0,41,,5,0,24080,80,19,f,4255.21,68.04,750.11,134.7958,0,,INDIVIDUAL,,135th week,0,,,,0
16592115,10000,10000,10000,36 months,,10.99,B,B2,Counselor,7 years,MORTGAGE,125000,Not Verified,n,,credit_card,Credit card refinancing,908xx,CA,18.05,4,1,19,,21,0,11639,51.7,55,f,1336.13,0,0,0,0,,INDIVIDUAL,,83th week,0,0,421664,22500,1
49704338,6400,6400,6400,36 months, ,12.69,C,C2,Retail Sales Specialist,< 1 year,OWN,42000,Source Verified,n,,debt_consolidation,Debt consolidation,466xx,IN,37.21,0,1,,,9,0,15455,76.9,29,f,466.13,0,0,0,0,,INDIVIDUAL,,31th week,0,0,71646,20100,1
1732493,4950,4950,4950,60 months,BAT1135695,16.29,C,C4,Town of North Haven,2 years,MORTGAGE,24000,Verified,n,,home_improvement,Debt Consolidation,064xx,CT,16.82,1,1,22,,12,0,8312,45.7,19,f,1388.24,0,0,0,0,22,INDIVIDUAL,,104th week,0,0,8312,18200,0
1718233,12000,12000,12000,36 months,BAT3865626,6.03,A,A1,Hospital,10+ years,MORTGAGE,128000,Verified,n,,debt_consolidation,Credit Card Elimination,168xx,PA,10.85,0,1,,,6,0,37908,51.2,27,w,806.36,0,0,0,0,,INDIVIDUAL,,74th week,0,0,311014,74000,1
52145013,20000,20000,20000,36 months,BAT1184694,12.69,C,C2,Store manager,10+ years,OWN,160000,Verified,n,,home_improvement,Home improvement,038xx,NH,4.1,1,2,4,118,14,1,755,1.7,36,f,1538.96,0,0,0,0,66,INDIVIDUAL,,35th week,0,805,234697,43300,0
61594927,7275,7275,7275,36 months,BAT1780517,7.26,A,A4,Co-Owner,10+ years,MORTGAGE,130000,Not Verified,n,,credit_card,Credit card refinancing,498xx,MI,16.63,0,2,,,14,0,9287,71.4,51,w,203.15,0,0,0,0,,INDIVIDUAL,,22th week,0,0,290962,13000,0
67069572,20200,20200,20200,36 months,,9.17,B,B2,Executive Assistant,10+ years,MORTGAGE,59000,Not Verified,n,,debt_consolidation,Debt consolidation,430xx,OH,21.84,0,1,46,,8,0,6560,19.5,18,w,366.73,0,0,0,0,,INDIVIDUAL,,13th week,0,0,195008,33600,0
14481374,16800,16800,16750,60 months,BAT2522922,24.08,F,F2,Sales Associate,< 1 year,RENT,86000,Source Verified,n,,debt_consolidation,Debt consolidation,900xx,CA,6.57,0,2,,,7,0,13166,70,9,f,6634.89,0,0,0,0,,INDIVIDUAL,,96th week,0,0,13166,18800,0
56742106,35000,35000,34925,60 months,BAT1780517,15.61,D,D1,Foreman,10+ years,MORTGAGE,78500,Verified,n,,debt_consolidation,Debt consolidation,083xx,NJ,11.48,0,0,,,12,0,34752,38.4,27,f,2194.09,0,0,0,0,,INDIVIDUAL,,22th week,0,0,34752,90600,0
59611678,6000,6000,6000,36 months,,13.33,C,C3,CMA,3 years,MORTGAGE,70000,Source Verified,n,,debt_consolidation,Debt consolidation,852xx,AZ,9.02,2,1,13,,9,0,12027,36.6,23,f,309.03,0,0,0,0,17,INDIVIDUAL,,26th week,0,0,359326,32900,0
37396374,10700,10700,10700,60 months,BAT2558388,14.31,C,C4,OB Tech,6 years,MORTGAGE,32100,Not Verified,n,,debt_consolidation,Debt consolidation,871xx,NM,27.29,0,0,33,,11,0,2558,45.7,25,w,1637.68,0,0,0,0,,INDIVIDUAL,,61th week,0,0,137019,5600,0
66382791,25000,25000,25000,60 months, ,7.89,A,A5,Co-Manager,2 years,MORTGAGE,95000,Not Verified,n,,debt_consolidation,Debt consolidation,301xx,GA,12.98,0,0,,,12,0,11533,15.9,24,w,464.46,0,0,0,0,,INDIVIDUAL,,13th week,0,0,235231,72600,0
10350023,12800,12800,12800,36 months,BAT2575549,12.99,B,B4,,10+ years,OWN,150000,Verified,n,,other,Unexpected Expenses,494xx,MI,12.63,1,2,6,,8,0,25218,40.2,29,f,2477.45,0,0,0,0,,INDIVIDUAL,,113th week,0,0,161107,62800,0
36434927,28000,28000,28000,36 months,BAT2558388,8.67,B,B1,Senior Software Engineer,2 years,MORTGAGE,125000,Source Verified,n,,debt_consolidation,Debt consolidation,840xx,UT,30.44,0,0,,,10,0,68178,78.4,25,w,752.44,0,0,0,0,,INDIVIDUAL,,17th week,0,0,316510,87000,0
63110232,17000,17000,16950,36 months, ,9.99,B,B3,Sr. Corporate & Securities Paralegal,< 1 year,RENT,110000,Not Verified,n,,debt_consolidation,Debt consolidation,076xx,NJ,13.6,1,2,18,,17,0,8350,15.3,36,f,573.96,0,0,0,0,18,INDIVIDUAL,,17th week,0,5005,22198,54500,0
6048478,15000,15000,15000,36 months,BAT2428731,11.14,B,B2,avisbudget group,4 years,MORTGAGE,60000,Verified,n,> Debt consolidation for paying high interest credit cards<br>,debt_consolidation,consolidation loan,330xx,FL,20.08,0,1,,,15,0,15028,68,31,f,1346.4,0,0,0,0,,INDIVIDUAL,,48th week,0,0,272177,22100,1
50976064,20000,20000,20000,60 months,BAT1184694,13.99,C,C4,owner,1 year,OWN,65000,Source Verified,n,,major_purchase,Major purchase,490xx,MI,11.71,0,1,,,7,0,1108,5.5,11,w,1772.23,0,0,0,0,,INDIVIDUAL,,35th week,0,0,124248,20000,0
10557234,24000,24000,24000,60 months, ,17.76,D,D1,Deputy Store Manager,9 years,MORTGAGE,128000,Verified,n,> I would like to use this loan to consolidate my debt and have only 1 monthly payment.<br>,debt_consolidation,Debt consolidation,926xx,CA,16.33,0,2,,,17,0,34211,53.7,36,f,1397.91,0,0,0,0,,INDIVIDUAL,,17th week,0,0,442155,63700,1
1665246,16000,16000,15975,36 months,,6.03,A,A1,Merrill Lynch,4 years,MORTGAGE,75000,Verified,n,> I am using these funds to invest in a rental property. I have had experience in the past through helping family with their own rental property and I'd like to give it a go on my own. <br>Not only is my income high enough to cover the payment but I definitely do not want to hurt my high credit score.<br>,small_business,Business funding,770xx,TX,4.83,0,0,,,6,0,1079,2.9,8,f,1438.43,0,0,0,0,,INDIVIDUAL,,117th week,0,,,,1
1604702,35000,35000,34975,36 months,BAT3943761,19.72,D,D5,,10+ years,MORTGAGE,140000,Verified,n,"   > product development, testing, patent expenses<br>",small_business,Business,195xx,PA,30.35,0,1,36,,16,0,88474,80.1,47,f,11640.25,0,0,0,0,,INDIVIDUAL,,156th week,0,,,,1
33740183,30000,30000,30000,60 months,,17.57,D,D4,Human Resources Director,10+ years,MORTGAGE,99500,Verified,n,,debt_consolidation,Debt consolidation,740xx,OK,27.9,0,0,,,11,0,9158,63.6,39,w,6012.87,0,0,0,0,,INDIVIDUAL,,65th week,0,0,447154,14400,0
38670667,19200,19200,19200,60 months,BAT2558388,17.86,D,D5,Bookkeeper,2 years,MORTGAGE,65000,Verified,n,,debt_consolidation,Debt consolidation,891xx,NV,16.36,0,2,,,23,0,22211,35.7,35,w,3378.59,0,0,0,0,,INDIVIDUAL,,61th week,0,170,46867,62200,1
9897643,5375,5375,5375,36 months, ,15.61,C,C3,forklift driver,3 years,RENT,25000,Verified,n,,credit_card,credit card reconciliation,282xx,NC,33.57,0,0,,,7,0,5624,67.8,10,w,1262.92,0,0,0,0,,INDIVIDUAL,,113th week,0,53,28862,8300,0
13688307,25250,25250,25250,36 months,BAT224923,14.64,C,C3,Transit Driver,< 1 year,MORTGAGE,72000,Source Verified,n,,debt_consolidation,Debt consolidation,553xx,MN,12.8,0,0,,106,7,1,11965,76.2,15,w,4496.77,0,0,0,0,,INDIVIDUAL,,82th week,0,0,250586,15700,1
72268079,7200,7200,7200,36 months,BAT2803411,14.48,C,C5,Assistant Manager,2 years,RENT,39750,Source Verified,n,,debt_consolidation,Debt consolidation,423xx,KY,19.66,0,3,26,47,15,1,2353,78.4,18,w,81.09,0,0,0,0,26,INDIVIDUAL,,4th week,0,0,58396,3000,0
48392080,18000,18000,18000,60 months,BAT1104812,14.65,C,C5,Police Officer,9 years,MORTGAGE,90000,Source Verified,n,,debt_consolidation,Debt consolidation,195xx,PA,14.8,0,1,,,8,0,10060,58.2,24,w,1855.66,0,0,0,0,,INDIVIDUAL,,39th week,0,0,223151,17300,0
1605934,1000,1000,1000,36 months,BAT3943761,12.12,B,B3,NFI Industries,8 years,RENT,40000,Verified,n,"> will use for a small golf vacation I have a steady,secure, full time job I have never defaulted or been late on a payment of any kind.My monthly budget is about 800 dollars<br>",vacation,Vacation,437xx,OH,31.77,0,0,,,12,0,15686,93.4,21,f,197.41,0,0,0,0,,INDIVIDUAL,,156th week,0,,,,1
42183408,14450,14450,14450,36 months, ,17.86,D,D5,INTERCEPTIONIST,3 years,MORTGAGE,40000,Not Verified,n,,credit_card,Credit card refinancing,791xx,TX,24.96,0,0,51,,13,0,23539,70.7,27,f,2089.08,0,0,0,0,,INDIVIDUAL,,48th week,0,0,103681,33300,0
51834982,18225,18225,18225,36 months, ,16.55,D,D2,Lead Mechanic,3 years,OWN,48000,Not Verified,n,,home_improvement,Home improvement,273xx,NC,6.98,0,0,,,7,0,5596,53.3,20,f,1625.84,0,0,0,0,,INDIVIDUAL,,31th week,0,0,123905,10500,0
72539472,20000,20000,20000,36 months,BAT2803411,13.18,C,C3,President,8 years,MORTGAGE,84000,Not Verified,n,,debt_consolidation,Debt consolidation,380xx,TN,25.81,0,0,44,,13,0,31858,79.2,27,w,0,0,0,0,0,44,INDIVIDUAL,,NAth week,0,0,405177,40200,0
61626318,12000,12000,12000,36 months, ,10.99,B,B4,Mammographer,2 years,OWN,55000,Verified,n,,credit_card,Credit card refinancing,305xx,GA,27.3,0,1,75,,17,0,15289,44.4,63,f,390.28,0,0,0,0,,INDIVIDUAL,,17th week,0,0,77893,34400,0
1908703,25000,25000,25000,60 months,,23.83,F,F5,Union Bank,7 years,RENT,65000,Source Verified,n,> I would like to pay off my current credit cards. I will then close all of them except for 1 credit card. Ive been working for the same company for the past 7 years. Ive changed most of my lifestyle and want to be debt free.<br><br>  > Tell your story. What is your loan for?<br><br>  > Main purpose of this loan would be to pay off my credit cards. I've made many changes to my my lifestyle and I want to be debt free in 5 years or less. Help me achieve this goal. Thank you<br>,credit_card,consolidate credit card and close cards,928xx,CA,12.42,0,3,,,10,0,22459,85.1,19,f,11647.23,0,0,0,0,,INDIVIDUAL,,122th week,0,0,22459,26400,1
57896812,5000,5000,5000,36 months,,12.69,C,C2,Sales,10+ years,MORTGAGE,77000,Verified,n,,credit_card,Credit card refinancing,057xx,VT,14.5,2,4,18,93,17,1,6981,45,25,w,295.25,0,0,0,0,89,INDIVIDUAL,,26th week,0,0,174517,15550,0
11037470,17000,17000,17000,36 months, ,6.03,A,A1,Network Administrator,7 years,MORTGAGE,88300,Verified,n,> Funds will be used for medical expenses and a small bathroom remodel.  Thanks much for your funding!<br>,debt_consolidation,Fellow LC Lender needs loan #4,327xx,FL,11.05,0,0,,,17,0,21498,18.1,36,f,1428.27,0,0,0,0,,INDIVIDUAL,,104th week,0,0,244772,118600,0
32547839,28000,28000,28000,36 months,,12.99,C,C1,Executive Chef,1 year,RENT,62400,Verified,n,,credit_card,Credit card refinancing,019xx,MA,12.58,0,2,,,3,0,22602,97,14,w,3763.35,0,0,0,0,,INDIVIDUAL,,65th week,0,0,23784,23300,0
59681056,20000,20000,20000,36 months, ,14.65,C,C5,Call center supervisor,10+ years,MORTGAGE,90000,Source Verified,n,,debt_consolidation,Debt consolidation,107xx,NY,11.2,0,2,46,,14,0,18497,67.4,22,f,1133.19,0,0,0,0,54,INDIVIDUAL,,26th week,0,0,28233,27500,0
